Comment,Designator,Footprint,LCSC,Quantity
100n,"C2,C3",C_0402_1005Metric,C1525,2
10u,C1,C_0402_1005Metric,C15525,1
4.7K,"R2,R3,R4,R5,R6",R_0402_1005Metric,C25900,5
47K,R1,R_0402_1005Metric,C25792,1
BC847,Q1,SOT-23,C22446827,1
Conn_Coaxial,J2,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C5137195,1
L80RE-M37,U1,XCVR_L80RE-M37,C3029061,1
M24C16-RMN6TP,U2,SOIC127P600X175-8N,C79946,1
RED,D2,LED_0603_1608Metric,C2286,1
YELLOW,D1,LED_0603_1608Metric,C2290,1
